Date,Currency,Base,Counter,Cropto,Price,Percent,rAlign
2017-12-21 00:55:00,코모도,KMD,BTC,0.00045044,"9,955 KRW",+35.45%,"1,264.608"
2017-12-21 00:55:00,나브코인,NAV,BTC,0.00017891,"3,954 KRW",+11.46%,"1,240.057"
2017-12-21 00:55:00,버트코인,VTC,BTC,0.00050298,"11,116 KRW",-1.79%,"1,165.311"
2017-12-21 00:55:00,비트베이,BAY,BTC,0.00001328,293 KRW,-10.63%,"1,106.935"
2017-12-21 00:55:00,스토리지,STORJ,BTC,0.00009573,"2,116 KRW",+24.24%,"1,082.812"
2017-12-21 00:55:00,엘비알와이크레딧,LBC,BTC,0.00004367,965 KRW,+0.85%,"1,015.357"
2017-12-21 00:55:00,그로스톨코인,GRS,BTC,0.00012790,"2,827 KRW",+5.70%,"1,000.408"
2017-12-21 00:55:00,스테이터스네트워크토큰,SNT,BTC,0.00001109,245 KRW,-3.23%,992.991
2017-12-21 00:55:00,시스코인,SYS,BTC,0.00003661,809 KRW,+3.89%,829.349
2017-12-21 00:55:00,모나코,MCO,BTC,0.00095556,"21,118 KRW",+1.98%,828.464
2017-12-21 00:55:00,모나코인,MONA,BTC,0.00088706,"19,604 KRW",+10.34%,780.331
2017-12-21 00:55:00,메탈,MTL,BTC,0.00055850,"12,343 KRW",+4.98%,753.632
2017-12-21 00:55:00,텐엑스페이토큰,PAY,BTC,0.00019705,"4,355 KRW",+1.19%,735.358
2017-12-21 00:55:00,솔트,SALT,BTC,0.00055047,"12,165 KRW",-4.39%,720.765
2017-12-21 00:55:00,골렘,GNT,BTC,0.00003785,836 KRW,+15.43%,682.071
2017-12-21 00:55:00,지코인,XZC,BTC,0.00399363,"88,259 KRW",+3.46%,634.422
2017-12-21 00:55:00,유빅,UBQ,BTC,0.00021066,"4,656 KRW",-14.02%,605.028
2017-12-21 00:55:00,리피오크레딧네트워크,RCN,BTC,0.00001410,312 KRW,-4.60%,594.180
2017-12-21 00:55:00,도지코인,DOGE,BTC,0.00000033,7.29 KRW,+6.45%,546.222
2017-12-21 00:55:00,스팀,STEEM,BTC,0.00018740,"4,142 KRW",+9.71%,497.838
2017-12-21 00:55:00,애드엑스,ADX,BTC,0.00009693,"2,142 KRW",-6.56%,493.764
2017-12-21 00:55:00,디센트럴랜드,MANA,BTC,0.00000630,139 KRW,-0.63%,478.016
2017-12-21 00:55:00,시빅,CVC,BTC,0.00003739,826 KRW,+10.95%,467.725
2017-12-21 00:55:00,아더,ARDR,BTC,0.00006198,"1,370 KRW",-1.13%,446.675
2017-12-21 00:55:00,펀페어,FUN,BTC,0.00000304,67.18 KRW,-3.49%,426.052
2017-12-21 00:55:00,복셀,VOX,BTC,0.00001949,431 KRW,-3.80%,424.859
2017-12-21 00:55:00,베이직어텐션토큰,BAT,BTC,0.00002014,445 KRW,-4.96%,397.276
2017-12-21 00:55:00,엣지리스,EDG,BTC,0.00009441,"2,086 KRW",-3.34%,396.169
2017-12-21 00:55:00,오케이캐시,OK,BTC,0.00003357,742 KRW,-7.47%,356.043
2017-12-21 00:55:00,라이즈,RISE,BTC,0.00004090,904 KRW,-0.22%,352.018
2017-12-21 00:55:00,디크레드,DCR,BTC,0.00566705,"125,242 KRW",+9.71%,339.003
2017-12-21 00:55:00,미스테리움,MYST,BTC,0.00008993,"1,987 KRW",-6.23%,337.753
2017-12-21 00:55:00,피벡스,PIVX,BTC,0.00048387,"10,694 KRW",+10.48%,334.322
2017-12-21 00:55:00,휴매닉,HMQ,BTC,0.00002117,468 KRW,-1.67%,320.199
2017-12-21 00:55:00,스팀달러,SBD,BTC,0.00076800,"16,973 KRW",-5.50%,313.262
2017-12-21 00:55:00,페이션토리,PTOY,BTC,0.00002979,658 KRW,+2.80%,307.141
2017-12-21 00:55:00,라디움,RADS,BTC,0.00061852,"13,669 KRW",-7.26%,306.617
2017-12-21 00:55:00,엘라스틱,XEL,BTC,0.00003105,686 KRW,-3.63%,285.437
2017-12-21 00:55:00,넥서스,NXS,BTC,0.00025694,"5,678 KRW",+15.20%,242.622
2017-12-21 00:55:00,디센트,DCT,BTC,0.00007288,"1,611 KRW",+36.89%,221.784
2017-12-21 00:55:00,퍼스트블러드,1ST,BTC,0.00003920,866 KRW,-8.69%,205.009
2017-12-21 00:55:00,구피,GUP,BTC,0.00003679,813 KRW,-7.56%,200.535
2017-12-21 00:55:00,바이버레이트,VIB,BTC,0.00001287,284 KRW,-2.20%,197.229
2017-12-21 00:55:00,블록틱스,TIX,BTC,0.00007700,"1,702 KRW",-0.70%,196.198
2017-12-21 00:55:00,젠캐시,ZEN,BTC,0.00223001,"49,283 KRW",-0.78%,192.694
2017-12-21 00:55:00,바이트볼,GBYTE,BTC,0.03261720,"720,840 KRW",-7.32%,191.346
2017-12-21 00:55:00,아이젝,RLC,BTC,0.00006700,"1,481 KRW",+15.58%,187.826
2017-12-21 00:55:00,누비츠,NBT,BTC,0.00005890,"1,302 KRW",+5.73%,184.870
