Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
67, Bithumb ,Bitcoin Gold,BTG,KRW,"640,029,000",489.47,11.68%,2017-12-21
68, Bithumb ,Qtum,QTUM,KRW,"597,125,000",68.36,10.89%,2017-12-21
69, Bithumb ,EOS,EOS,KRW,"463,655,000",13.46,8.46%,2017-12-21
70, Bithumb ,Ethereum Classic,ETC,KRW,"274,786,000",48.35,5.01%,2017-12-21
71, Bithumb ,Ethereum,ETH,KRW,"271,781,000",983.65,4.96%,2017-12-21
72, Bithumb ,Monero,XMR,KRW,"***232,771,000",***536.45,0.00%,2017-12-21
73, Bithumb ,Ripple,XRP,KRW,"229,512,000",0.853541,4.19%,2017-12-21
74, Bithumb ,Dash,DASH,KRW,"221,109,000",1821.75,4.03%,2017-12-21
75, Bithumb ,Litecoin,LTC,KRW,"184,766,000",390.15,3.37%,2017-12-21
76, Bithumb ,Zcash,ZEC,KRW,"116,286,000",781.13,2.12%,2017-12-21
77, Bittrex ,Bitcoin Cash,BCC,BTC,"1,101,560,000",3733.40,25.85%,2017-12-21
78, Bittrex ,Verge,XVG,BTC,"352,137,000",0.128779,8.26%,2017-12-21
79, Bittrex ,Bitcoin,BTC,USDT,"219,303,000",16923.00,5.15%,2017-12-21
80, Bittrex ,Einsteinium,EMC2,BTC,"164,347,000",1.55,3.86%,2017-12-21
81, Bittrex ,Ethereum,ETH,BTC,"134,828,000",812.52,3.16%,2017-12-21
82, Bittrex ,Bitcoin Cash,BCC,USDT,"118,285,000",3676.67,2.78%,2017-12-21
83, Bittrex ,Bitcoin Gold,BTG,BTC,"115,176,000",408.74,2.70%,2017-12-21
84, Bittrex ,Cardano,ADA,BTC,"113,869,000",0.485530,2.67%,2017-12-21
85, Bittrex ,Litecoin,LTC,BTC,"106,208,000",320.60,2.49%,2017-12-21
86, Bittrex ,Ripple,XRP,BTC,"91,350,200",0.717948,2.14%,2017-12-21
87, Bittrex ,Nxt,NXT,BTC,"87,833,700",0.918557,2.06%,2017-12-21
88, Bittrex ,NEO,NEO,BTC,"76,236,000",69.77,1.79%,2017-12-21
89, Bittrex ,Monero,XMR,BTC,"70,883,000",447.75,1.66%,2017-12-21
